Issue #,Priority,Type,Title,Page/Location,Problem Description,Fix/Action Required,,,,,,,,
1,1-Critical,Bug,Fix ISO 8601 Link,/docs/relationships/1206,Link to ISO 8601 returns 404,Update to: https://www.iso.org/iso-8601-date-and-time-format.html,,,,,,,,
2,1-Critical,Bug,Fix ISBD Consolidated Edition Link,/docs/about/r001,Link to ISBD Consolidated Edition returns 404,Update to: https://repository.ifla.org/handle/20.500.14598/1939,,,,,,,,
3,1-Critical,Bug,Fix Example Cross-Reference Links,Multiple element pages,"""Links fx069"," fx035; fx070 incorrect"";""Fix to fx061; fx075; fx076 respectively""",,,,,,,,
4,1-Critical,Bug,Fix RDA/ONIX Framework Links,/docs/about,Links to ISBDM Category vocabularies are broken,Update or remove broken links,,,,,,,,
5,2-High,Content,Add Missing Element Reference Sections,General stipulations for relationship elements,"""Missing Element values"," String encoding schemes; Sources of information sections"";Add all three missing sections",,,,,,,,
6,2-High,Content,Add Missing Inverse Elements,/docs/relationships/1015-1016 and 1013-1014,Inverse element links not displayed,Add bidirectional inverse element references,,,,,,,,
7,2-High,Content,Restore Missing Example Notes,Multiple pages,Full example notes missing from various examples,Add proper example citations and notes,,,,,,,,
8,2-High,Content,Add Missing Full Example,Full examples section,Emma (1971; Penguin Books; volume) example fx063 is missing,Create and add the missing example,,,,,,,,
9,3-High,Bug,Fix Mandatory Element Symbol Color,All mandatory elements,Mandatory symbol (✽) should be red not black,Update CSS to display symbol in red,,,,,,,,
10,3-High,Content,Fix Property → Element Labels,All example pages,Table headers show 'Property' instead of 'Element',Global find/replace Property with Element,,,,,,,,
11,3-High,Bug,Fix Element Sub-type Separators,Multiple element pages,Missing separator line between element hierarchy groups,Add horizontal separator between groups,,,,,,,,
12,4-Medium,Bug,Fix Example Text Formatting,All inline and full examples,"""Notes should be italic"," values not bold; left aligned"";Update example formatting styles",,,,,,,,
13,4-Medium,Content,Fix Bullet List Formatting,/docs/assess/*,Tables used instead of bullet lists,Restore bullet list format,,,,,,,,
14,4-Medium,Bug,Fix Numbered List Indentation,Introduction pages,Nested lists (3a/3b) not properly indented,Fix list indentation in markdown,,,,,,,,
15,5-Medium,Content,Fix Example Values,/docs/statements/1290,"Example reads 'versesquot;' should be 'verses""'",Correct the typo,,,,,,,,
16,5-Medium,Content,Complete Truncated Examples,Multiple locations,Several examples are incomplete or cut off,Complete all truncated example text,,,,,,,,
17,5-Medium,Typo,Fix Typo in Croatian Example,/docs/notes/1281,izbuš eni should be 'izbušeni' (one word),Correct the typo,,,,,,,,
18,5-Medium,Content,Add Missing Text,/docs/notes/1272,Missing 'Sources of information' section at end,Add the missing section,,,,,,,,
19,6-Medium,UI,Fix Menu Capitalization,All navigation menus,Inconsistent capitalization,Use sentence case (first word only),,,,,,,,
20,6-Medium,Content,Fix Section Title Consistency,About section,Inconsistent section titles,Standardize as 'About ISBDM' then 'Scope and purpose',,,,,,,,
21,7-Low,Enhancement,Add Missing Sub/Super-unit Links,Full examples,has sub-unit/super-unit values should link to related examples,Add cross-reference links between related examples,,,,,,,,
22,7-Low,Bug,Fix Example Link Text,/docs/assess/p010,Full example link for Mojo missing proper formatting,Fix link formatting,,,,,,,,
23,8-Enhancement,Enhancement,Improve Search Functionality,Search component,"""Add phrase search"," show result count; strip HTML from preview; add filtering""; Implement search improvements",,,,,,,,
24,9-Bug,Bug,Maintain Open/Closed State,Examples and comments,Browser back button doesn't maintain open/closed state,Implement state management using sessionStorage,,,,,,,,
25,10-Documentation,Bug,Update Anonymous Classics Links,/docs/about,Links to Anonymous Classics documents may be outdated,Verify and update all three links,,,,,,,,
