shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,note
Element,ISBD Element,*uri,Element URI,TRUE,FALSE,IRI,,http://iflastandards.info/ns/isbd/elements/,IRIstem,,"The URI identifier of the element"
Element,ISBD Element,*rdf:type,RDF Type,TRUE,FALSE,IRI,,"owl:Class,rdf:Property",picklist,,"The type of RDF resource"
Element,ISBD Element,*rdfs:label@en,Label (English),TRUE,FALSE,literal,langString,,,,"The label/name of the element in English"
Element,ISBD Element,rdfs:label@es,Label (Spanish),FALSE,TRUE,literal,langString,,,,"The label/name of the element in Spanish - can have multiple values [0], [1], etc."
Element,ISBD Element,*skos:definition@en,Definition (English),TRUE,TRUE,literal,langString,,,,"Full definition of the element in English - can have multiple values [0], [1]"
Element,ISBD Element,skos:definition@es,Definition (Spanish),FALSE,FALSE,literal,langString,,,,"Full definition of the element in Spanish"
Element,ISBD Element,skos:prefLabel@en,Preferred Label (English),FALSE,FALSE,literal,langString,maxPerLanguage:1,languageTag,"SKOS preferred label - max one per language"
Element,ISBD Element,skos:scopeNote@en,Scope Note (English),FALSE,TRUE,literal,langString,,,,"Additional information about the element's scope and usage - can have multiple values [0], [1]"
Element,ISBD Element,skos:scopeNote@es,Scope Note (Spanish),FALSE,FALSE,literal,langString,,,,"Additional information about the element's scope and usage in Spanish"
Element,ISBD Element,skos:note@en,Note (English),FALSE,FALSE,literal,langString,,,,"General note about the element"
Element,ISBD Element,reg:status,Publication Status,FALSE,FALSE,IRI,,http://metadataregistry.org/uri/RegStatus/,IRIstem,,"The publication status of the element"
Element,ISBD Element,reg:name@en,Registry Name (English),FALSE,FALSE,literal,langString,,,,"Registry name of the element"
Element,ISBD Element,reg:hasSubClass[csv],Has Subclass,FALSE,TRUE,IRI,,,,,"URIs of subclasses, semicolon-separated"
Element,ISBD Element,reg:hasSubproperty[csv],Has Subproperty,FALSE,TRUE,IRI,,,,,"URIs of subproperties, semicolon-separated"
Element,ISBD Element,reg:hasUnconstrained,Has Unconstrained,FALSE,FALSE,IRI,,http://iflastandards.info/ns/isbd/unc/elements/,IRIstem,,"URI of the unconstrained version of this element"
Element,ISBD Element,rdfs:domain,Domain,FALSE,FALSE,IRI,,,,,"The domain of the element (what type of resource it applies to)"
Element,ISBD Element,rdfs:range,Range,FALSE,FALSE,IRI,,,,,"The range of the element (what type of value it can take)"
Element,ISBD Element,rdfs:isDefinedBy,Defined By,FALSE,FALSE,IRI,,http://iflastandards.info/ns/isbd/elements/,IRIstem,,"The namespace that defines this element"
Element,ISBD Element,rdfs:subClassOf[csv],Subclass Of,FALSE,TRUE,IRI,,,,,"URIs of parent classes, semicolon-separated"
Element,ISBD Element,rdfs:subPropertyOf[csv],Subproperty Of,FALSE,TRUE,IRI,,,,,"URIs of parent properties, semicolon-separated"
Element,ISBD Element,owl:inverseOf[csv],Inverse Of,FALSE,TRUE,IRI,,,,,"URIs of inverse properties, semicolon-separated"
Element,ISBD Element,dc:title@en,Title (English),FALSE,FALSE,literal,langString,,,,"Dublin Core title of the element"
Element,ISBD Element,foaf:homepage,Homepage,FALSE,FALSE,IRI,,,,,"URL of documentation page"
